To,From,Current Behavior,New Behavior,AI Needed?,If AI Needed How and Why,Part of Planned Script
Scheduled,Backlog,Proactive sweep cron triages Backlog. If actionable for Adriel assigns him creates calendar event moves to Scheduled. Often done by trello_consolidated_maintenance.mjs.,Forbidden — Ubi must move to Reschedule instead. handle_reschedule.mjs handles scheduling. Gateway blocks direct Scheduled moves from Backlog. Ubi triages per Backlog rules then moves to Reschedule. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,No,Blocked: Ubi must use Reschedule as intermediate. handle_reschedule.mjs handles the Scheduled move deterministically.,NO_SCRIPT
Adriel Focus,Backlog,Not done automatically. Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only. No automation.,NO_SCRIPT
Blocked,Backlog,Proactive sweep moves cards here if concrete external blocker. Often vague.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Backlog,Proactive sweep moves here if Ubi can complete safely. Sometimes premature (docs/plans marked Done).,Only move if Ubi personally completed the actual outcome. Comment evidence. Never for plans/next-steps. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) evaluates whether actual requested outcome is complete vs just docs/plans/research. Needs understanding of request vs outcome.,bridge-wake → Ubi main
Routine,Backlog,Not typically done from Backlog.,If card is recurring (daily/weekly habit) move to Routine and set recurring calendar event. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,No,Deterministic: check title for recurring keywords (daily weekly Sunday). If found create recurring calendar event.,bridge-wake → Ubi main
Reschedule,Backlog,Adriel or Ubi may move a backlog card to Reschedule to schedule it.,Event-driven: Same handler as all other ->Reschedule transitions. Webhook -> handle_reschedule.mjs (priority path: P1/+1 P2/+2 P3/+5 days) -> Scheduled with calendar block.,No,Fully deterministic: read priority create or update calendar event move card to Scheduled. No AI.,handle_reschedule.mjs
Missed,Backlog,Never happens from Backlog.,Forbidden — Missed is for Scheduled cards whose calendar block passed without completion.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Scheduled,Rare. Would happen if card deprioritized.,Event-driven: Webhook fires -> intake handler routes to Ubi. Ubi triages per Backlog rules. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi comments commitment and next steps. Orphan cleanup deletes future calendar event separately. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) triages why card was deprioritized. Determines if it should stay in Backlog or be revived to Scheduled.,bridge-wake → Ubi main
Adriel Focus,Scheduled,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only. No automation.,NO_SCRIPT
Blocked,Scheduled,Not typical from Scheduled.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Moves calendar event to far future if staying Blocked. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Scheduled,Completion check cron prompts Adriel: Dog walk ended. Done? If Adriel replies Done Ubi moves to Done. Sometimes Ubi moves without confirmation.,Only move if: (a) Adriel explicitly says Done or (b) Ubi personally completed the outcome. Never auto-move from Scheduled without confirmation.,No,Deterministic: Script sends prompt. Checks reply for keywords — 'done'/'yes' -> Done 'missed'/'no' -> Missed 'reschedule'/'later' -> Reschedule. If no exact match prompt again. If timeout (no reply within 15 min) auto-move to Missed. No AI — keyword matching only.,Cheryl cron (disabled)
Routine,Scheduled,Not typical.,Allowed if card becomes recurring. Calendar event becomes recurring.,No,Deterministic: check if card should be recurring. Convert calendar event to recurring series.,bridge classification
Reschedule,Scheduled,Adriel moves manually or Ubi moves per request. Webhook captures event. Currently Ubi handles it herself (broken — moves card back to Scheduled without calendar work).,Event-driven: Webhook fires -> deterministic script reads card priority calculates new date (P1=+1 day P2=+2 days P3=+4 days) checks calendar conflicts moves event to next free slot moves card to Scheduled with new due date. All in one script. No A2A. No waiting.,No,Fully deterministic: read priority from title do date math check conflicts via gog-calendar move event move card.,handle_reschedule.mjs
Missed,Scheduled,Completion check cron: if Adriel doesn't reply Done after prompt Ubi sometimes moves to Missed.,If calendar block ended and no Done confirmation -> move to Missed. Prompt Adriel: Missed — reschedule or drop?,No,Deterministic: If no reply to Done prompt within 15 min auto-move to Missed. No judgment needed — timeout based.,Cheryl cron (disabled)
Backlog,Adriel Focus,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,Yes,Ubi (AI) understands Adriel wants Ubi to work on it. Comments commitment and asks clarifying questions if needed.,bridge-wake → Ubi main
Scheduled,Adriel Focus,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual move by Adriel. If moving to Scheduled deterministic script creates calendar event on webhook.,NO_SCRIPT
Blocked,Adriel Focus,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Adriel Focus,Adriel moves manually or Ubi moves per explicit request.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only. Adriel owns Focus and Done transitions.,NO_SCRIPT
Routine,Adriel Focus,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Reschedule,Adriel Focus,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Fully deterministic script. No AI no A2A. Date math + conflict check + move.,handle_reschedule.mjs
Missed,Adriel Focus,Not typical from Adriel Focus.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Blocked,Proactive sweep checks Blocked cards. If blocker resolved moves to Backlog or Scheduled.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. If blocker truly resolved but no clear next action yet Ubi leaves in Backlog with work plan. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) verifies blocker is resolved and determines if card is ready for scheduling or should stay in Backlog.,bridge-wake → Ubi main
Scheduled,Blocked,If blocker resolved and card is actionable proactive sweep moves to Scheduled. Often without calendar event.,Forbidden — Ubi must move to Reschedule instead. handle_reschedule.mjs handles scheduling with calendar block creation.,No,Blocked: Ubi must move to Reschedule. handle_reschedule.mjs handles the Scheduled move deterministically.,NO_SCRIPT
Adriel Focus,Blocked,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Done,Blocked,If blocker made card obsolete proactive sweep moves to Done.,Allowed — comment why obsolete. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) judges whether card is truly obsolete or just stalled. Distinguishes from temporary blockers.,bridge-wake → Ubi main
Routine,Blocked,Not typical.,Allowed if blocker was need to make this recurring.,No,Deterministic: create recurring calendar event move to Routine.,bridge classification
Reschedule,Blocked,Forbidden — Blocked cards shouldn't go to Reschedule.,Forbidden — makes no sense. Blocked ≠ needs rescheduling.,No,N/A — forbidden transition.,NO_SCRIPT
Missed,Blocked,Forbidden,Forbidden — Blocked cards have no calendar block to miss.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Done,Adriel sometimes moves cards back from Done if wrongly marked.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. Comments why Done was wrong and commits to finishing. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) triages revived work. Determines if it needs scheduling blocking or is truly backlogged.,bridge-wake → Ubi main
Scheduled,Done,Adriel moves back if work isn't actually done.,Forbidden for Ubi — must move to Reschedule instead. handle_reschedule.mjs handles scheduling. Only Adriel can move Done→Scheduled directly.,No,Blocked: Ubi must move to Reschedule. handle_reschedule.mjs handles the Scheduled move deterministically.,NO_SCRIPT
Adriel Focus,Done,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Done,Rare.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Routine,Done,Not typical.,Allowed — if card should have been Routine.,No,Manual only.,NO_SCRIPT
Reschedule,Done,Forbidden — Done cards don't get rescheduled.,Allowed — means Adriel wants to revive incomplete work. Script reads priority creates new calendar event (or moves existing one) sets due date moves card to Scheduled. Comment: Revived from Done. New calendar block: [date].,No,Deterministic: read priority create calendar event set due date move to Scheduled. No AI.,handle_reschedule.mjs
Missed,Done,Forbidden,Forbidden — Done cards are complete.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Routine,Not typical.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. If routine discontinued delete recurring calendar event comment reason and explain new direction. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) determines if routine is truly discontinued or just being reorganized.,bridge-wake → Ubi main
Scheduled,Routine,Not typical — Routine cards are already on the calendar.,Allowed if routine becomes one-off project.,No,Deterministic: convert recurring event to single event. Move to Scheduled.,bridge classification
Adriel Focus,Routine,Adriel moves manually.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Routine,Not typical.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Pauses recurring event if staying Blocked. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Routine,Routine cards rarely marked Done.,Forbidden — routines are ongoing not one-time completions. Archive instead if discontinued.,No,N/A — forbidden transition. Use archive.,NO_SCRIPT
Reschedule,Routine,Adriel might move a routine card if skipping today.,Event-driven: Script finds today's instance. Preserves ORIGINAL TIME (routine time is sacred). Checks target day at same time. If FREE: moves instance to target day at same time. If CONFLICT: compares priority — routine ALWAYS wins at same or higher priority. P1 routine bumps any P1/P2/P3 conflict. P2 routine bumps P2/P3 conflict. P3 routine bumps P3 conflict. Only if routine is LOWER priority than conflict does routine get bumped. Bumped item goes to next free slot. Target day: same day if possible otherwise next day (daily) or preserve interval (weekly/bi-weekly). Card goes to Scheduled.,No,Deterministic: preserve time check conflict compare priority. Routine wins at same or higher priority. Only lower priority routine gets bumped. No AI.,silent (no handler)
Missed,Routine,Not typical for Routine.,Allowed if recurring event was missed. Prompt: Missed dog walk today — still do it tomorrow?,No,Deterministic: If routine was missed (not marked Done and calendar block passed) move to Missed. Next instance handled by recurring series. No AI.,Cheryl cron (disabled)
Backlog,Reschedule,Not typical.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. If card truly deprioritized delete calendar event and leave in Backlog with work plan. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) determines if card is truly deprioritized or just needs different scheduling.,bridge-wake → Ubi main
Scheduled,Reschedule,Currently: Ubi moves cards back without Cheryl's calendar work (broken). Cron sweep sometimes does this.,Event-driven: Script reads priority calculates new date checks conflicts moves calendar event moves card back to Scheduled. Same handler for all ->Reschedule transitions.,No,Fully deterministic script. No AI no A2A.,handle_reschedule.mjs
Adriel Focus,Reschedule,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Reschedule,Not typical.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Reschedule,Forbidden — Reschedule cards aren't done.,Forbidden — move to Scheduled first then Done.,No,N/A — forbidden transition.,NO_SCRIPT
Routine,Reschedule,Not typical.,Allowed if card becomes recurring.,No,Deterministic: create recurring event move to Routine.,bridge classification
Missed,Reschedule,Not typical.,Forbidden — if missed move to Scheduled or Backlog not Reschedule.,No,N/A — forbidden transition.,NO_SCRIPT
Backlog,Missed,Not typical.,Event-driven: Webhook fires -> intake handler routes to Ubi. Reminder: moving to Backlog means Adriel wants Ubi to work on it and move toward Done. Ubi triages per Backlog rules. Comments why missed and commits to next attempt. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Ubi (AI) determines if missed work should be deprioritized or if card was moved by mistake.,bridge-wake → Ubi main
Scheduled,Missed,Adriel says reschedule -> Ubi moves to Scheduled. Sometimes without calendar event.,Allowed — script creates calendar event first. Never Scheduled without calendar block.,No,Deterministic: check if calendar event exists. If not create via gog-calendar then move.,silent (no handler)
Adriel Focus,Missed,Not done automatically.,Gateway blocked: agents cannot move cards to or from Adriel Focus. Only Adriel.,No,Manual only.,NO_SCRIPT
Blocked,Missed,Not typical.,Event-driven: Webhook fires -> routes to Marcos. Marcos checks card for blocker comment. If NO blocker comment: investigates card attempts to implement the work. If successful moves to Done or Backlog. If blocker discovered during investigation: moves to Blocked comments @adriellopez1 with specific blocker. If blocker comment EXISTS: checks if resolvable. If resolvable: resolves moves to Backlog. If unresolvable: leaves in Blocked comments @adriellopez1. Anti-loop: comments with @adriellopez1 are filtered from webhook intake. Ubi/Marcos comments do not trigger further AI processing.,Yes,Marcos (AI) investigates card attempts implementation. Only escalates to Adriel if real blocker found during investigation. Prevents parking lot abuse by proactive resolution. Anti-loop: Marcos-authored comments with @adriellopez1 are filtered from intake queue to prevent self-triggering.,bridge-wake → Marcos
Done,Missed,Adriel says drop it -> Ubi moves to Done.,Allowed — comment Missed dropped per Adriel.,No,Deterministic: move to Done with drop comment.,silent (no handler)
Routine,Missed,Not typical.,Allowed if missed work was a one-off routine skip and should be reinstated as recurring. Script creates new recurring event series starting today.,No,Deterministic: create recurring event series from today. Move card to Routine.,silent (no handler)
Reschedule,Missed,Forbidden — Missed->Reschedule is circular.,Allowed — Adriel decided item needs a calendar block. Script reads priority calculates new date creates calendar event moves card to Scheduled. Same as Done->Reschedule handler.,No,Deterministic: read priority create calendar event set due date move to Scheduled. No AI.,handle_reschedule.mjs
